Name,Ticker,Industry,Weight
Valero Energy Corporation,VLO,Energy,0.09%
"United Rentals, Inc.",URI,Industrials,0.09%
Edwards Lifesciences Corp,EW,Health Care,0.09%
"Verisk Analytics, Inc.",VRSK,Information Technology,0.09%
Monster Beverage Corporation,MNST,Consumer Staples,0.09%
Otis Worldwide Corporation,OTIS,Industrials,0.08%
Discover Financial Services,DFS,Financials,0.08%
Keurig Dr Pepper Inc.,KDP,Consumer Staples,0.08%
"Ametek, Inc.",AME,Industrials,0.08%
Vistra Corp.,VST,Utilities,0.08%
"Prudential Financial, Inc.",PRU,Financials,0.08%
Public Service Enterprise Group Incorporated,PEG,Utilities,0.08%
"L3harris Technologies, Inc.",LHX,Information Technology,0.08%
"Axon Enterprise, Inc.",AXON,Information Technology,0.08%
"Xcel Energy, Inc.",XEL,Utilities,0.08%
"Fidelity National Information Services, Inc.",FIS,Information Technology,0.08%
"Cbre Group, Inc.",CBRE,Real Estate,0.08%
Ford Motor Company,F,Consumer Discretionary,0.08%
Cognizant Technology Solutions,CTSH,Information Technology,0.08%
Lululemon Athletica Inc.,LULU,Consumer Discretionary,0.08%
"Quanta Services, Inc.",PWR,Industrials,0.08%
Pg&e Corporation,PCG,Utilities,0.08%
"Consolidated Edison, Inc.",ED,Utilities,0.08%
Ge Healthcare Technologies Inc.,GEHC,Health Care,0.08%
Charter Comm Inc Del Cl a,CHTR,Communication Services,0.08%
D.R. Horton Inc.,DHI,Real Estate,0.08%
Arch Capital Group Ltd,ACGL,Financials,0.08%
Sysco Corporation,SYY,Consumer Staples,0.08%
Entergy Corporation,ETR,Utilities,0.07%
Corning Incorporated,GLW,Materials,0.07%
"The Hartford Financial Services Group, Inc.",HIG,Financials,0.07%
Take-Two Interactive Software Inc,TTWO,Information Technology,0.07%
Idexx Laboratories Inc,IDXX,Health Care,0.07%
Electronic Arts Inc,EA,Information Technology,0.07%
Willis Towers Watson Public Limited Companys,WTW,Financials,0.07%
Agilent Technologies Inc.,A,Health Care,0.07%
Costar Group Inc,CSGP,Real Estate,0.07%
Vici Properties Inc.,VICI,Real Estate,0.07%
"Wec Energy Group, Inc.",WEC,Utilities,0.07%
Occidental Petroleum Corporation,OXY,Energy,0.07%
Garmin Ltd,GRMN,Consumer Discretionary,0.07%
"Cardinal Health, Inc.",CAH,Health Care,0.07%
"General Mills, Inc.",GIS,Consumer Staples,0.07%
Ingersoll Rand Inc.,IR,Industrials,0.07%
"Gartner, Inc.",IT,Information Technology,0.07%
Resmed Inc.,RMD,Health Care,0.07%
Humana Inc.,HUM,Health Care,0.07%
