Price,Close,High,Low,Open,Volume
Ticker,VUG,VUG,VUG,VUG,VUG
Date,,,,,
5/2/21,258.5393981933594,259.1052449079019,257.29060531000977,258.54916392460746,675800
8/2/21,260.00286865234375,260.2175063577465,258.5296721391897,259.9736012276786,740700
9/2/21,259.9344482421875,260.8905666297764,259.2515320569626,259.2515320569626,707900
10/2/21,259.55401611328125,261.6808610836723,257.6320430560025,261.4662234406515,748500
11/2/21,260.9686584472656,261.3686663337865,259.1540190228015,261.04672474264765,658300
12/2/21,262.3443298339844,262.4321321005791,259.7199084737735,260.41262042175373,719300
16/2/21,261.2808837890625,263.3199267495871,260.5589342569489,263.00772109164654,874700
17/2/21,260.33453369140625,260.5784387817827,257.80768052793445,259.15404139058387,767600
18/2/21,259.43695068359375,260.1296327263725,256.7539949888214,258.0417911,640200
19/2/21,258.3150329589844,260.6272785886298,257.9150249751278,260.6272785886298,843500
22/2/21,252.5393066,255.6808050237973,252.34417068199136,255.5149365,828700
23/2/21,252.12954711914062,253.2320028225054,244.03191053420673,248.86122804445094,1324100
24/2/21,253.78811645507812,254.14909120664856,248.44170642829218,250.26611164746328,1273100
25/2/21,245.8563232421875,253.89542523653262,244.76363323599338,252.46126216001042,1038900
26/2/21,246.7246094,250.16856262240813,244.43189578680705,248.1587723622043,1231700
1/3/21,253.3978271484375,253.6709995939651,249.56363229542663,250.49046844180822,739700
2/3/21,249.9636688232422,254.06128599425716,249.95393286626515,253.73931462193394,907300
3/3/21,243.10504150390625,249.86608254486825,243.08553981781122,249.38803816022445,1140800
4/3/21,238.94891357421875,244.84166831281925,235.75863113861047,242.88066205216117,1800900
5/3/21,242.18800354003906,242.89045139022363,233.57327397431274,241.08554776940224,1489000
8/3/21,237.22206115722656,244.1879892,236.97815609130845,242.2074813000638,1080500
9/3/21,244.98802185058594,246.55877117856792,242.16847969018428,242.67580643047503,979700
10/3/21,244.94900512695312,248.10025464678648,244.4124109643103,247.9051335567668,1044200
11/3/21,250.4612579345703,251.56371369600555,248.1197750446883,248.4807498111256,857100
12/3/21,248.91000366210938,249.02707333046254,246.0416776931855,247.71974574457246,770500
15/3/21,251.2905731201172,251.45641192781667,248.00272199335961,249.1149287404004,872300
16/3/21,252.0515137,254.55886502048534,250.85148996909706,252.8222620552967,880400
17/3/21,252.51004028320312,253.92467178174513,248.77341293880747,249.96365594811996,704400
18/3/21,245.8758087158203,249.98317633713037,245.6221379344805,249.2514462951588,749400
19/3/21,246.27581787109375,247.58316034823318,244.3928778936572,246.2075321932491,749300
22/3/21,249.89540100097656,251.31003258920103,247.6221890008726,247.70024041224485,686600
23/3/21,248.87095642089844,251.93441817930136,248.3441280563603,250.4612221309616,894000
24/3/21,245.46604919433594,249.92464067069554,245.46604919433594,249.92464067069554,1161000
25/3/21,245.52566528320312,246.06307321796373,242.14490792882094,244.3336021949565,1213600
